Country,"Trade Partner, 2022","US Tariff, 2022","Trade Partner, Retaliation","US Tariff, Current"
Brazil,13.52%,2.17%,,10.00%
India,12.63%,3.83%,,10.00%
Thailand,9.82%,2.56%,,10.00%
Vietnam,9.13%,3.70%,,10.00%
Indonesia,8.56%,2.88%,,10.00%
China,7.11%,3.61%,125%,145.00%
Malaysia,5.47%,3.21%,,10.00%
EU,4.01%,3.49%,,10.00%
Japan,3.63%,3.54%,,10.00%
South Korea,2.66%,0.05%,,10.00%
Canada,0.92%,0.14%,25%,25.00%
Israel,0.60%,0.16%,,10.00%
Colombia,0.44%,0.27%,,10.00%
Mexico,0.01%,0.01%,,10.00%
Singapore,0.00%,0.00%,,10.00%